127.0.0.1 - - [21/Nov/2014:12:03:33 +0100] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [21/Nov/2014:12:04:14 +0100] "POST /PTC/register HTTP/1.1" 200 4
192.168.0.21 - - [21/Nov/2014:12:04:23 +0100] "POST /PTC/register HTTP/1.1" 200 4
192.168.0.22 - - [21/Nov/2014:12:04:31 +0100] "POST /PTC/register HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2014:12:05:08 +0100] "POST /PTC/askforpass HTTP/1.1" 200 25
192.168.0.21 - - [21/Nov/2014:12:05:09 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2014:12:05:57 +0100] "POST /PTC/askforpass HTTP/1.1" 200 22
192.168.0.22 - - [21/Nov/2014:12:05:58 +0100] "POST /PTC/response HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Nov/2014:12:06:06 +0100] "POST /PTC/askforpass HTTP/1.1" 200 22
192.168.0.22 - - [21/Nov/2014:12:06:06 +0100] "POST /PTC/response HTTP/1.1" 200 4
